@relation summary_features_participants_classification-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute n_faces numeric
@attribute avg_confidence_faces numeric
@attribute std_confidence_faces numeric
@attribute avg_relativeSize_faces numeric
@attribute std_relativeSize_faces numeric
@attribute avg_thirdRule_x numeric
@attribute std_thirdRule_x numeric
@attribute avg_thirdRule_y numeric
@attribute std_thirdRule_y numeric
@attribute num_clts numeric
@attribute avg_silhouette numeric
@attribute avg_intra_clt_dist numeric
@attribute avg_inter_clt_dist numeric
@attribute faces_in_noise_clt numeric
@attribute num_core_samples numeric
@attribute avg_imgs_clt numeric
@attribute avg_std_silhouette numeric
@attribute avg_std_intra_clt_dist numeric
@attribute avg_std_inter_clt_dist numeric
@attribute avg_n_core_samples numeric
@attribute std_n_core_samples numeric
@attribute GTrends_popularity numeric
@attribute label {1,0}

@data
0.606061,0.923885,0.164173,0.209816,0.112706,0.60974,0.54418,0.327516,0.620884,0,0.761634,0.295568,0.741987,0.206186,0.744,0.8125,0.352657,0.435764,0.170991,0.845455,0,0.019708,1
0.484848,0.76378,0.590945,0.654251,0.64001,0.406749,0.575043,0.460717,0.655253,0,0.657529,0.429008,0.855798,0.154639,0.648,0.714286,0.631394,0.777587,0.278033,0.736364,0,0.019708,1
0.492424,0.85958,0.324803,0.757143,0.479144,0.356229,0.268293,0.665282,0.226977,0,1,0,0.416329,0,0.792,0.857143,0.462502,0.57667,0.017813,0.9,0,0.58514,1
0.583333,0.930446,0.387795,0.187203,0.084612,0.751464,0.35876,0.176581,0.447054,0.2,0.778999,0.277661,0.773378,0.010309,0.864,0.455357,0.352381,0.355856,0.435977,0.486364,0.913462,0.042373,1
0.704545,0.837927,0.207874,0.093854,0.058943,0.481033,0.595182,0.166673,0.354655,0,0.747967,0.361351,1,0.278351,0.776,0.866071,1,1,0.867382,0.881818,0,0.021285,1
0.136364,0.62664,0.416142,0.658581,0.676628,0.563982,0.496448,0.497738,0.7478,0,0.150105,0.861572,0.617793,0.505155,0,0,0,0,0.025091,0,0,0.054395,0
0.386364,0.822178,0.555906,0.308693,0.190093,0.623415,0.075485,0.283623,0.320988,0.2,0.563708,0.416175,0.463835,0.216495,0.504,0.25,0.242293,0.33876,0.218087,0.281818,0.480769,0.055972,0
0.727273,0.929134,0.112598,0.172293,0.246076,0.563982,1,0.530241,0.561806,0,0.516311,0.507564,0.606182,0.649485,0.528,0.571429,0.32738,0.440387,0.154007,0.6,0,0.020891,1
0.545455,0.577428,0.398819,0.282487,0.122435,0.661695,0.238781,0.361991,0.325168,0,0.649119,0.427983,0.839091,0.041237,0.808,0.883929,0.657489,0.60128,0.749207,0.918182,0,0.277887,1
0.439394,0.396982,0.80315,0.64696,0.739771,0.39768,0.47768,0.570833,0.280208,0,0.122963,0.948598,0.788092,0.896907,0.016,0.017857,0.298226,0.408921,0,0.018182,0,0.019708,0
0.55303,0.729659,0.305118,0.411146,0.299168,1,0.118096,0.480627,0.310214,0,0.767935,0.252801,0.598911,0.030928,0.824,0.901786,0.836322,0.771089,0.645833,0.936364,0,0.302326,1
0.44697,0.776903,0.426378,0.66209,0.425548,0.179636,0.029633,0.39302,0.32547,0.4,0.56901,0.428515,0.501053,0.237113,0.504,0.169643,0.644756,0.848157,0.272926,0.184848,0.247148,0.024438,0
0.424242,0.611549,0.635039,0.369157,0.288864,0.224852,0.350796,0.234229,0.309576,1,0.280294,0.650031,0.299891,0.463918,0.304,0.025298,0.563365,0.590173,0.446092,0.05,0.056232,0.070556,0
0.719697,0.999344,0.055906,0.269771,0.129005,0.645755,0.633112,0.508328,0.570289,0.2,0.833768,0.147772,0.399261,0.226804,0.832,0.441964,0.425766,0.356776,0.481251,0.468182,0.932692,0.019905,1
0.530303,0.697507,0.364173,0.514881,0.545643,0.315486,0.537328,0.624123,0.582325,0,0.674961,0.420514,0.909183,0.123711,0.704,0.794643,0.621736,0.626895,0.634445,0.8,0,0.027986,1
0.704545,0.5,0.662205,0.516638,0.378808,0.605456,0.453571,0.651064,0.643589,0.4,0.613656,0.345416,0.410174,0.329897,0.728,0.244048,0.33843,0.181474,0.589679,0.269697,0.592784,0.04592,1
0.560606,0.972441,0.15748,0.336196,0.170288,0.515941,0.456628,0.199096,0.296893,0.2,0.39495,0.630906,0.645732,0.319588,0.544,0.308036,0.652314,0.76523,0.170355,0.304545,0.644231,0.055183,1
0.69697,0.587927,0.614567,0.369005,0.42643,0.22977,0.690103,0.550857,0.752677,0.4,0.462994,0.551876,0.587578,0.536082,0.568,0.181548,0.501699,0.462356,0.563648,0.209091,0.346954,0.019708,1
0.734848,0.69357,0.440551,0.598609,0.267695,0.322087,0.573069,0.445529,0.384642,0.2,0.577551,0.44194,0.618086,0.340206,0.776,0.401786,0.332476,0.404485,0.141118,0.436364,0.576923,0.073118,0
0.530303,0.660761,0.470472,0.477957,0.494968,0.71308,0.508471,0.343267,0.409226,0.4,0.213152,0.761172,0.458366,0.762887,0.208,0.050595,0.290471,0.408972,0.556838,0.072727,0.071955,0.055183,0
